"ID","Code","Year","Nog controlleren","Niet relevant","Ingegeven","Publicatie"
"L106","106",1966,0,0,1,"KEKENBOSCH, J., 1966. Note sur les espèces belges du genre Pirata (Araneae, Lycosidae). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 103 : 260 264.              "
"L107","107",1966,0,0,1,"KEKENBOSCH, J., 1966. Trois Araneus nouveaux pour la faune de Belgique : A. alpicus (L. KOCH), A. ceropegius (WALCK.) et A. sanguineus (C.L. KOCH). Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 103 : 325.              "
"L108","108",1968,0,0,1,"KEKENBOSCH, J., 1968. Communication : Araignées nouvelles pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 104 : 368 369.              "
"L109","109",1969,0,0,1,"KEKENBOSCH, J., 1969. Meta merianae var. celata (BLACK.), nouvelle pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 105 : 71.              "
"L110","110",1969,0,0,1,"KEKENBOSCH, J., 1969. Trois Araignées intéressantes pour la faune de Belgique. Bulletin et Annales de la Société Royale d'Entomologie de Belgique, 105 : 290.              "
"L111","111",1969,0,1,0,"VAN HELSDINGEN, P.J., 1969. A reclassification of the species of Linyphia LATREILLE based on the functioning of the genitalia (Araneida, Linyphiidae). I. Zoologische Verhandelingen, 105: 1 303, figs. 1-408, pl. I-II.              "
"L112","112",1970,0,1,0,"DENIS, J., 1970. Notes sur les Erigonides XL. Les Erigonides du nord de la France. Bull. Mus. Hist. nat., 2ième  série, 42 (2): 1228 1237.              "
"L113","113",1971,0,0,1,"KEKENBOSCH, J., 1971. Notes sur les Araignées de la faune de Belgique. V. Thomisidae. Bull. Inst. r. Sc. nat. Belg., 47 (37): 1 27.              "
"L114","114",1972,0,0,1,"JOCQUE, R., 1972. Contribution à  la connaissance des Araignées de la Belgique. I. Biologisch Jaarboek Dodonaea, 40 : 214 223.              "
"L115","115",1972,0,0,1,"KEKENBOSCH, J., 1972. Communication. Bulletin et Annales de la Société royale belge d'Entomologie, 108 : 225.              "
"L116","116",1973,0,0,1,"FRAITURE, A., 1973. A propos de quelques Araignées remarquables. Les Naturalistes Belges, 54 (8) : 366 378, figs. 1-6.              "
"L116b","116b",1973,0,0,0,"FRAITURE, A., 1973. Note arachnologique. Bulletin  d'information de la Société des naturalistes du Brabant  wallon. Â»Decouvre !Â», 3 (3/4) : 75-78.            "
"L117","117",1973,1,0,0,"JOCQUE, R., 1973.The Spider Fauna of adjacent woodland areas with different humus types. Biologisch Jaarboek Dodonaea, 41: 153 158.              "
"L118","118",1974,0,0,1,"JOCQUE, R., 1974. Contribution à  la connaissance des Araignées de Belgique. Biologisch Jaarboek Dodonaea, 42 : 126 131.              "
"L119","119",1974,0,0,1,"KEKENBOSCH, J. & RANSY, M., 1974. Araignée nouvelle pour la faune belge : Hyptiotes paradoxus (C.L. KOCH) (Uloboridae). Bulletin et Annales de la Société royale belge d'Entomologie, 110 : 170.              "
"L120","120",1975,0,0,1,"BAERT, L., 1975.Four gynandromorph and intersexual Linyphiid spiders for Belgium. Biologisch Jaarboek Dodonaea, 43: 58 62.              "
"L121","121",1975,1,0,0,"HUBLE, J., 1975. Arachnofauna van strooisel onder duinstruweel van de Belgische Westkust (Soortenlijst). Biologisch Jaarboek Dodonaea, 43: 146 150.              "
"L122","122",1975,0,1,0,"MAELFAIT, J.P. & BAERT, L., 1975.Contribution to the knowledge of the Arachno  and Entomofauna of different woodhabitats. Part I. Biologisch Jaarboek Dodonaea, 43: 179 196.              "
"L123","123",1976,0,0,1,"BAERT, L., 1976. Nieuwe intersexuele spin voor België : Gonatium rubellum (BLACKW.). Bulletin et Annales de la Société royale belge d'Entomologie, 112 : 203 207.              "
"L124","124",1976,0,0,1,"BAERT, L., 1976. Quelques araignées intéressantes ou nouvelles pour la faune belge. (Communiqué). Bulletin et Annales de la Société royale belge d'Entomologie, 112 : 214 215.              "
"L125","125",1976,0,0,1,"GYSELS, H., VANFLETEREN, J., LIPPENS, P. & MAERTENS, D., 1976. Tien jaar zoologische stages in en om de Ardennen. Natuurwetenschappelijk Tijdschrift, 58: 3 68.              "
"L126","126",1976,0,0,1,"HUBLE, J., 1976. Bodemspinnen van duinmoeras en Helmduinen in het staatsnatuurreservaat ""De Westhoek"" (Soortenlijst). Biologisch Jaarboek Dodonaea, 44 : 226 230.              "
"L127","127",1976,0,0,1,"JOCQUE, R., 1976. Contribution à  la connaissance des araignées de Belgique. II. Bulletin et Annales de la Société royale belge d'Entomologie, 112 : 182 192.              "
"L128","128",1976,0,0,1,"KEKENBOSCH, J. & RANSY, M., 1976. Notes sur quelques araignées pue communes de la faune de Belgique. Bulletin et Annales de la Société royale belge d'Entomologie, 112 : 101 109.              "
"L129","129",1977,1,0,0,"BAERT, L., 1977. Communiqué : Cineta gradata (SIMON), araignée nouvelle pour la faune belge. Bulletin et Annales de la Société royale belge d'Entomologie, 113 : 246.              "
"L130","130",1977,0,0,1,"BOSMANS, R. & COTTENIE, P., 1977. Araignées rares ou nouvelles pour la fauna belge des cultures. (Communication). Bulletin et Annales de la Société royale belge d'Entomologie, 113 : 100.              "
"L131","131",1977,0,1,0,"COTTENIE, P. & DE CLERCQ, R., 1977. Studie van de Arachnofauna in wintertarwevelden. Parasitica, 33 (4) : 138 147.              "
"L132","132",1977,1,0,0,"JOCQUE, R., 1977. On the occurence of Agroeca dentigera KULCZ. in Belgium. (Ar. Club.). Bulletin of the British arachnological Society, 4 (2) : 80 82.              "
"L133","133",1977,0,1,0,"JOCQUE, R., 1977. Contribution à  la connaissance des araignées de Belgique. V. Description de Theridion hublei n. sp. Revue Arachnologique, 1 (2) : 59 63.              "
"L134","134",1977,1,0,0,"JOCQUE, R., 1977. Contribution à  la connaissance des araignées de Belgique. IV. Biologisch Jaarboek Dodonaea, 45 : 141 149.              "
"L135","135",1977,0,1,0,"KEKENBOSCH, J., BOSMANS, R. & BAERT, L., 1977. Liste des Araignées de la faune de Belgique. Documents de travail de l'Institut royal des Sciences naturelles de Belgique, 11 : 25 pp.              "
"L136","136",1977,1,0,0,"KEKENBOSCH, J. & RANSY, M., 1977. Communiqué : quelques araignées intéressantes pour la faune belge. Bulletin et Annales de la Société royale belge d'Entomologie, 113 : 248 249.              "
